C1	46.50	7.50	0.00	100nF	0805
LED1	39.50	11.00	270.00		SML0805
LED2	25.50	11.00	270.00		SML0805
LED3	11.50	11.00	270.00		SML0805
LED4	11.50	6.50	180.00		SML0805
LED5	25.50	6.50	180.00		SML0805
LED6	39.50	6.50	180.00		SML0805
POT	4.85	12.50	270.00	5k	TRIMPOT-SMD-5MM
R1	16.00	11.00	90.00	220	0805
R2	30.00	11.00	90.00	220	0805
R3	32.50	14.00	0.00	220	0805
R4	18.50	14.00	180.00	10k	0805
R5	21.00	11.00	270.00	10k	0805
R6	35.00	11.00	270.00	10k	0805
R7	32.50	8.00	180.00	220	0805
R8	18.50	8.00	180.00	220	0805
R9	4.50	7.50	180.00	220	0805
S1	11.50	19.63	0.00		SWITCH_SPST_SMD_A
S2	25.50	19.63	0.00		SWITCH_SPST_SMD_A
S3	39.50	19.63	0.00		SWITCH_SPST_SMD_A
U1	46.50	12.48	0.00	LM339PWR	TSSOP-14
